Cód. Produto;Descrição;Unid.;Categoria;Família;Grupo Produto
001.001;001.001 - Mamao Formosa Doce Mel 1 Cx Ifco 6424 12kg;12,00;Formosa 1ª;Mamao Formosa;Mamao
001.003;001.003 - Mamao Formosa Doce Mel Ex Cx 7.5kg;7.5;Formosa Exp;Mamao Formosa;Mamao
001.004;001.004 - Mamao Formosa Doce Mel Ex Cx 10kg;10,00;Formosa Exp;Mamao Formosa;Mamao
001.005;001.005 - Mamao Formosa Doce Mel Ex Cx 4.5kg;4.5;Formosa Exp;Mamao Formosa;Mamao
001.006;001.006 - Mamao Formosa Doce Mel Ex Cx 8.5kg;8.5;Formosa Exp;Mamao Formosa;Mamao
001.007;001.007 - Mamao Formosa Premium Cx 12kg;12,00;Formosa Extra;Mamao Formosa;Mamao
001.008;001.008 - Mamao Formosa Doce Mel Extra Tipo 11-12 Cx 12kg;12,00;Formosa Extra;Mamao Formosa;Mamao
001.009;001.009 - Mamao Formosa Frutana Ex Cx 4.5kg;4.5;Formosa Exp;Mamao Formosa;Mamao
001.010;001.010 - Mamao Formosa Frutana Ex Cx 8.5kg;8.5;Formosa Exp;Mamao Formosa;Mamao
001.011;001.011 - Mamao Formosa Levissa Ex Cx 7.5kg;7.5;Formosa Exp;Mamao Formosa;Mamao
001.012;001.012 - Mamao Formosa Pp Cx 12kg;12,00;Formosa Pp;Mamao Formosa;Mamao
001.013;001.013 - Mamao Formosa Pp Bim;1,00;Formosa Pp;Mamao Formosa;Mamao
001.014;001.014 - Mamao Papaya Golden Doce 1 Cal M Cx 20kg;20,00;Papaya Extra;Mamao Papaya;Mamao
001.015;001.015 - Mamao Papaya Golden Doce Mel 1 Cx 20kg;20,00;Papaya Extra;Mamao Papaya;Mamao
001.016;001.016 - Mamao Papaya Golden Doce Mel Box 6 Unid Cx 9kg;9,00;Papaya Box;Mamao Papaya;Mamao
001.017;001.017 - Mamao Papaya Golden Doce Mel Ex Cx 10kg;10,00;Papaya Extra;Mamao Papaya;Mamao
001.018;001.018 - Mamao Papaya Golden Doce Mel Ex Cx 2,3kg;2,30;Papaya Extra;Mamao Papaya;Mamao
001.019;001.019 - Mamao Papaya Golden Doce Mel Ex Cx 3.5kg;3.5;Papaya Extra;Mamao Papaya;Mamao
001.020;001.020 - Mamao Papaya Golden Doce Mel Extra Cx 10kg;10,00;Papaya Extra;Mamao Papaya;Mamao
001.021;001.021 - Mamao Papaya Golden Doce Mel Extra Cx 12 Kg;12,00;Papaya Extra;Mamao Papaya;Mamao
001.026;001.026 - Mamao Papaya Golden Frutana Ex Cx 3.5kg;3.5;Papaya Extra;Mamao Papaya;Mamao
001.027;001.027 - Mamao Papaya Golden Doce Mel Oferta Cx Ifco 12 Kg;12,00;Papaya Extra;Mamao Papaya;Mamao
001.028;001.028 - Mamao Papaya Golden Pp Cal G Cx 20kg;20,00;Papaya Extra;Mamao Papaya;Mamao
001.030;001.030 - Mamao Papaya Golden Pp Cal M Cx 20kg;20,00;Papaya Extra;Mamao Papaya;Mamao
001.031;001.031 - Mamao Papaya Golden Qualita Box 6 Unid Cx Ifco 9kg;9,00;Papaya Box;Mamao Papaya;Mamao
001.032;001.032 - Mamao Papaya Golden Varejo;1,00;Papaya Extra;Mamao Papaya;Mamao
001.033;001.033 - Mamao Formosa Exportacao Cx 4,5 Kg Levissa;4,50;Formosa Exp;Mamao Formosa;Mamao
001.034;001.034 - Mamao Papaya Golden Cx 1,5kg Tipo Export;1,50;Papaya Box;Mamao Papaya;Mamao
001.036;001.036 - Mamao Papaya Golden Box Doce Mel 6 Und Cx Ifco 9kg;9,00;Papaya Box;Mamao Papaya;Mamao
001.037;001.037 - Mamao Papaya Golden Pp Cal G Granel;1,00;Papaya Extra;Mamao Papaya;Mamao
001.038;001.038 - Mamao Papaya Premium Cx 10 Kg;10,00;Papaya Extra;Mamao Papaya;Mamao
001.038;001.038 - Mamao Papaya Premium Cx 10 Kg Tipo (20-23);10,00;Papaya Extra;Mamao Papaya;Mamao
001.039;001.039 - Mamao Papaya Golden 1 Cx 15 Kg;15,00;Papaya Extra;Mamao Papaya;Mamao
001.040;001.040 - Mamao Papaya Extra Cx Ifco 6414 10kg;10,00;Papaya Extra;Mamao Papaya;Mamao
001.042;001.042 - Mamao Formosa 1 Cx Ifco 10kg;10,00;Formosa 1ª;Mamao Formosa;Mamao
001.043;001.043 - Mamao Formosa Exp Cx Aldi 4,5 Kg;4,50;Formosa Exp;Mamao Formosa;Mamao
001.044;001.044 - Mamao Formosa Pp Bim;1,00;Formosa Pp;Mamao Formosa;Mamao
001.045;001.045 - Mamao Papaya Golden Esquisita Ex Cx 3.5kg;3.5;Papaya Extra;Mamao Papaya;Mamao
001.046;001.046 - Mamao Formosa Ex Cx Esquisita 4,5kg;4,50;Formosa Exp;Mamao Formosa;Mamao
001.047;001.047 - Mamao Formosa Exp Reserva Goumert Cx 4,5;4,50;Formosa Exp;Mamao Papaya;Mamao
001.048;001.048 - Mamao Papaya Alianca Extra Cx 12 Kg;12,00;Papaya Extra;Mamao Papaya;Mamao
001.049;001.049 - Mamao Papaya Alianca Cx Ifco 18 Kg;18,00;Papaya Extra;Mamao Papaya;Mamao
001.050;001.050 - Mamao Papaya Golden Doce Mel 1 Cx Plast 20 Kg;20,00;Papaya Extra;Mamao Papaya;Mamao
001.050;001.050 - Mamao Papaya Golden Doce Mel 1 Cx Plast 20kg;20,00;Papaya Extra;Mamao Papaya;Mamao
