Cód. Produto;Descrição;Unid.;Categoria;Família;Grupo Produto
042.033;042.033 - Pera Rocha Cat I Cal 55-60 Cx 10kg;10,00;Pera Portuguesa;Pera Portuguesa;Pera
042.034;042.034 - Pera Rocha Cat I Cal 60-65 Cx 10kg;10,00;Pera Portuguesa;Pera Portuguesa;Pera
042.035;042.035 - Pera Rocha Cat I Cal 65-70 Cx 10kg;10,00;Pera Portuguesa;Pera Portuguesa;Pera
042.036;042.036 - Pera Rocha Cat I Cal 70-75 Cx 10kg;10,00;Pera Portuguesa;Pera Portuguesa;Pera
042.039;042.039 - Pera Rocha Pick & Nicky Nac Cx 14 Und X 1kg;1,00;Pera Portuguesa Pick & Nicky;Pera Portuguesa;Pera
042.041;042.041 - Pera Red Imp Cal 80-113 Cx 18 Kg;18,00;Pera Red Imp;Pera Red;Pera
042.042;042.042 - Pera D'Anjou Imp Qualita Cx 10 Und C/500gr;5,00;Pera D'Anjou Imp;Pera Danjou;Pera
042.043;042.043 - Pera Portuguesa Imp Qualita Cx 10 Und C/ 500gr;5,00;Pera Portuguesa Imp;Pera Portuguesa Imp;Pera
042.044;042.044 - Pera Red D'Anjou Cx 9kg;9,00;Pera Red Imp;Pera Danjou;Pera
042.045;042.045 - Pera Asiatica Imp Cx 10kg;10,00;Pera Asiatica Imp;Pera Asiatica;Pera
042.046;042.046 - Pera Portuguesa Imp Eleg Cal 45-50 Cx 14 Kg;14,00;Pera Portuguesa Imp;Pera Portuguesa Imp;Pera
042.047;042.047 - Pera Rocha R. Gourmet Bdj 500g;0,50;Pera Portuguesa Imp;Pera Portuguesa;Pera
042.048;042.048 - Pera D'Anjou Imp. R. Gourmet Bdj 550g;0,55;Pera D'Anjou Imp;Pera Danjou;Pera
042.049;042.049 - Pera Imp. Williams Eleg. Cal 120 / Cx 18 Kg;18,00;Pera Willians Imp;Pera Willians;Pera
042.051;042.051 - Pera Portuguesa Imp Eleg Cal 60-65 Cx Plast 21 Kg;21,00;Pera Portuguesa Imp;Pera Portuguesa;Pera
042.052;042.052 - Pera Portuguesa Imp Eleg Cal 55-60 Cx Plast 21 Kg;21,00;Pera Portuguesa Imp;Pera Portuguesa;Pera
042.053;042.053 - Pera Portuguesa Imp Eleg Cal 50-55 Cx Plast 21 Kg;21,00;Pera Portuguesa Imp;Pera Portuguesa;Pera
042.055;042.055 - Pera Portuguesa Pick & Nicky Imp Pct 1kg Cx Plast 20 Und;20,00;Pera Portuguesa Imp Pick & Nicky;Pera Portuguesa;Pera
042.056;042.056 - Pera Imp Williams Com Cal 70-120 Cx 18kg;18,00;Pera Willians Imp;Pera Willians;Pera
042.057;042.057 - Pera Red Imp Cal 120-135 Cx 18kg;18,00;Pera Red Imp;Pera Red;Pera
042.058;042.058 - Pera Rocha Cat Ii Cal 55-60 Cx 10kg;10,00;Pera Portuguesa;Pera Portuguesa;Pera
042.059;042.059 - Pera Rocha Cat Ii Cal 60-65 Cx 10kg;10,00;Pera Portuguesa;Pera Portuguesa;Pera
042.060;042.060 - Pera Asiatica Imp. Eleg. Cx 05 Kg;5,00;Pera Asiatica Imp;Pera Portuguesa;Pera
042.062;042.062 - Pera Turma Da Monica Imp Pct 1kg Cx 14 Und;14,00;Pera Turma Da Monica;Pera Portuguesa;Pera
042.063;042.063 - Pera Imp Forelle Eleg Cx 10kg;10,00;Pera Portuguesa Imp;Pera Forelle;Pera
042.065;042.065 - Pera Forelle Imp - Cal 100 - 110 Cx 18kg;18,00;Pera Portuguesa Imp;Pera Forelle;Pera
042.066;042.066 - Pera Asiatica Imp Cx 8kg;8,00;Pera Asiatica Imp;Pera Asiatica;Pera
042.067;042.067 - Pera Portuguesa Imp Eleg Cal 45-50 Cx 10 Kg;10,00;Pera Portuguesa Imp;Pera Portuguesa Imp;Pera
043.004;043.004 - Maca Fuji Imp Eleg Cal 135-138 Cx 18kg;18,00;Maca Gala Imp;Maca Fuji Imp;Maca
043.011;043.011 - Maca Gala Pick & Nick Imp Pct 1kg Cx 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala Imp;Maca
043.011;043.011 - Maça Gala Pick & Nick Imp Pct 1kg Cx 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala Imp;Maca
043.011;043.011 - Maca Gala Pick E Nick Imp Pct 1kg Cx 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala Imp;Maca
043.011;043.011 - Maca Pick & Nick Imp Pct 1kg Cx 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala Imp;Maca
043.012;043.012 - Maca Granny Smith Imp Eleg Cal 125 Cx 18kg;18,00;Maca Granny Imp;Maca Granny;Maca
043.013;043.013 - Maca Granny Smith Imp Eleg Cal 125 Cx 19kg;19,00;Maca Granny Imp;Maca Granny;Maca
043.015;043.015 - Maca Granny Smith Imp Eleg Cal 70 Cx 18kg;18,00;Maca Granny Imp;Maca Granny;Maca
043.016;043.016 - Maca Granny Smith Imp Eleg Cal 80-113 Cx 18kg;18,00;Maca Granny Imp;Maca Granny;Maca
043.017;043.017 - Maca Granny Smith Imp Eleg Cal 72-113 Cx 19kg;19,00;Maca Granny Imp;Maca Granny;Maca
043.018;043.018 - Maca Granny Smith Varejo;1,00;Maca Granny Imp;Maca Granny;Maca
043.019;043.019 - Maca Nac Fuji Cat I Cal 110 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.019;043.019 - Maça Nac Fuji Cat I Cal 110 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.020;043.020 - Maca Nac Fuji Cat I Cal 120 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.020;043.020 - Maça Nac Fuji Cat I Cal 120 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.021;043.021 - Maça Nac Fuji Cat I Cal 135 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
